TIME,GEO,ANIMALS,UNIT,Value,Flag and Footnotes,,,,
2012,European Union - 28 countries (2013-2020),Live goats,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Live goats,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),"Goats, breeding females",Number,:,,,,,
2012,European Union - 28 countries (2013-2020),"Goats, breeding females",Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Other goats,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Other goats,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Live poultry,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Live poultry,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Live poultry excluding laying hens and broilers,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Live poultry excluding laying hens and broilers,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Laying hens,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Laying hens,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Laying hens (producing eggs for consumption),Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Laying hens (producing eggs for consumption),Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Broilers,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Broilers,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Rabbits,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Rabbits,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Bees (hives),Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Bees (hives),Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Other live animals,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Other live animals,Head (animal),:,,,,,
2012,Belgium,Live horses,Number,:,,,,,
2012,Belgium,Live horses,Head (animal),:,,,,,
2012,Belgium,Live bovine animals,Number,:,,,,,
2012,Belgium,Live bovine animals,Head (animal),"72,487",,,,,
2012,Belgium,Bovine animals for slaughter,Number,:,,,,,
2012,Belgium,Bovine animals for slaughter,Head (animal),:,,,,,
2012,Belgium,Dairy cows,Number,:,,,,,
2012,Belgium,Dairy cows,Head (animal),"13,049",,,,,
2012,Belgium,Other bovine animals,Number,:,,,,,
2012,Belgium,Other bovine animals,Head (animal),:,,,,,
2012,Belgium,"Live swine, domestic species",Number,:,,,,,
2012,Belgium,"Live swine, domestic species",Head (animal),"10,371",,,,,
2012,Belgium,"Breeding sows, live weight 50 kg or over",Number,:,,,,,
2012,Belgium,"Breeding sows, live weight 50 kg or over",Head (animal),710,,,,,
2012,Belgium,Other pigs,Number,:,,,,,
